GAME,TEAM,PLAYER,MIN,PTS,REB,AST,STL,BLK,TO,FO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,+/-,EFF
BRA1,Brazil,Bruno Caboclo,33,25,9,1,2,3,2,2,12,16,75.0,11,15,73.0,1,1,100.0,0,0,0.0,3,6,17,34
BRA1,Brazil,Marcelinho Huertas,23,17,6,0,0,0,2,1,8,15,53.0,7,14,50.0,1,1,100.0,0,0,0.0,1,5,6,14
BRA1,Brazil,Leo Meindl,20,10,5,4,0,0,0,2,3,7,43.0,1,3,33.0,2,4,50.0,2,3,67.0,1,4,11,14
BRA1,Brazil,Gui Santos,21,9,8,1,2,1,1,1,3,5,60.0,3,5,60.0,0,0,0.0,3,4,75.0,2,6,3,17
BRA1,Brazil,Lucas Dias,34,8,0,2,2,1,1,2,3,6,50.0,1,2,50.0,2,4,50.0,0,0,0.0,0,0,11,9
BRA1,Brazil,Raul Neto,19,7,1,3,0,1,0,1,2,5,40.0,2,4,50.0,0,1,0.0,3,5,60.0,0,1,15,7
BRA1,Brazil,Yago Santos,18,4,1,5,1,0,1,2,1,4,25.0,1,2,50.0,0,2,0.0,2,3,67.0,0,1,3,6
BRA1,Brazil,George De Paula,7,1,0,0,0,0,1,1,0,1,0.0,0,1,0.0,0,0,0.0,1,2,50.0,0,0,-8,-2
BRA1,Brazil,Joao Cardoso,2,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,-2,2
BRA1,Brazil,Didi Louzada,8,0,2,0,0,0,1,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,1,0
BRA1,Brazil,Vitor Benite,10,0,2,0,1,0,0,1,0,4,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,-4,-1
BRA1,Brazil,Cristiano Felicio,7,0,0,0,0,0,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,-8,-1
BRA1,Montenegro,Nikola Vucevic,30,17,13,0,1,0,5,3,7,14,50.0,6,11,55.00000000000001,1,3,33.0,2,2,100.0,5,8,-7,19
BRA1,Montenegro,Marko Simonovic,22,15,6,3,0,0,1,3,6,15,40.0,3,9,33.0,3,6,50.0,0,0,0.0,3,3,-13,14
BRA1,Montenegro,Kendrick Perry,30,11,1,3,2,0,2,3,4,18,22.0,3,10,30.0,1,8,12.0,2,2,100.0,0,1,-4,1
BRA1,Montenegro,Petar Popovic,28,10,4,1,0,0,1,3,3,6,50.0,2,3,67.0,1,3,33.0,3,3,100.0,1,3,-8,11
BRA1,Montenegro,Andrija Slavkovic,15,7,0,2,0,0,0,2,3,3,100.0,2,2,100.0,1,1,100.0,0,0,0.0,0,0,-2,9
BRA1,Montenegro,Dino Radoncic,25,6,4,1,2,0,0,2,2,5,40.0,2,5,40.0,0,0,0.0,2,2,100.0,0,4,-7,10
BRA1,Montenegro,Aleksa Ilic,12,2,4,1,0,1,0,0,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0.0,2,2,-3,7
BRA1,Montenegro,Luka Bogavac,12,2,2,2,0,0,0,0,1,3,33.0,1,3,33.0,0,0,0.0,0,0,0.0,0,2,-1,4
BRA1,Montenegro,Igor Drobnjak,11,2,0,2,0,0,1,1,1,4,25.0,1,3,33.0,0,1,0.0,0,0,0.0,0,0,-5,0
BRA1,Montenegro,Emir Hadzibegovic,16,0,2,1,0,0,0,2,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,1,5,1
CAM1,Cameroon,Jeremiah Hill,36,22,6,6,1,0,3,1,7,16,44.0,1,3,33.0,6,13,46.0,2,3,67.0,1,5,-11,22
CAM1,Cameroon,Brice Eyaga Bidias,20,15,2,0,0,2,0,2,5,8,62.0,2,2,100.0,3,6,50.0,2,6,33.0,2,0,3,12
CAM1,Cameroon,Williams Narace,24,9,3,0,2,0,2,3,4,7,56.99999999999999,3,4,75.0,1,3,33.0,0,0,0.0,0,3,0,9
CAM1,Cameroon,Paul Eboua,26,8,1,2,1,0,1,3,4,7,56.99999999999999,4,5,80.0,0,2,0.0,0,0,0.0,0,1,6,8
CAM1,Cameroon,Samir Gbetkom,18,7,3,2,2,0,0,1,2,5,40.0,2,2,100.0,0,3,0.0,3,4,75.0,0,3,16,10
CAM1,Cameroon,Roger Moute A Bidias,18,6,0,1,1,0,0,3,3,6,50.0,3,6,50.0,0,0,0.0,0,0,0.0,0,0,3,5
CAM1,Cameroon,Jordan Bayehe,19,3,5,2,1,0,0,4,1,4,25.0,0,2,0.0,1,2,50.0,0,0,0.0,2,3,-8,8
CAM1,Cameroon,Fabien Ateba,15,3,1,1,0,0,1,1,1,5,20.0,0,1,0.0,1,4,25.0,0,0,0.0,0,1,19,0
CAM1,Cameroon,Tamenang Choh,15,2,4,2,1,0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,2,2,100.0,0,4,-2,8
CAM1,Cameroon,Roland Nyama,9,2,0,0,0,0,2,1,0,2,0.0,0,1,0.0,0,1,0.0,2,2,100.0,0,0,-11,-2
CAM1,Brazil,Leo Meindl,35,19,5,2,1,0,2,4,5,10,50.0,2,5,40.0,3,5,60.0,6,8,75.0,0,5,11,18
CAM1,Brazil,Lucas Dias,36,16,6,1,1,0,0,2,6,13,46.0,3,4,75.0,3,9,33.0,1,1,100.0,3,3,11,17
CAM1,Brazil,Bruno Caboclo,24,10,4,0,0,0,2,4,3,5,60.0,1,3,33.0,2,2,100.0,2,3,67.0,1,3,-2,9
CAM1,Brazil,Vitor Benite,21,8,1,0,1,0,1,4,2,9,22.0,1,2,50.0,1,7,14.000000000000002,3,4,75.0,1,0,5,1
CAM1,Brazil,Cristiano Felicio,14,6,5,0,1,0,0,1,2,2,100.0,2,2,100.0,0,0,0.0,2,2,100.0,2,3,6,12
CAM1,Brazil,Yago Santos,24,6,6,7,0,0,3,1,2,10,20.0,0,2,0.0,2,8,25.0,0,0,0.0,1,5,1,8
CAM1,Brazil,Gui Santos,12,5,0,1,0,0,1,1,2,5,40.0,1,1,100.0,1,4,25.0,0,0,0.0,0,0,-11,2
CAM1,Brazil,Marcelinho Huertas,24,4,5,7,0,1,4,2,2,7,28.999999999999996,2,5,40.0,0,2,0.0,0,0,0.0,0,5,-3,8
CAM1,Brazil,Joao Cardoso,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-7,1
CAM1,Brazil,Didi Louzada,5,0,1,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,-14,1
CAM1,Brazil,George De Paula,4,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,-12,-1
BRA2,Brazil,Bruno Caboclo,29,15,11,1,0,3,2,2,5,9,56.00000000000001,5,6,83.0,0,3,0.0,5,5,100.0,2,9,13,24
BRA2,Brazil,Marcelinho Huertas,26,13,1,7,1,0,2,1,6,15,40.0,5,11,45.0,1,4,25.0,0,0,0.0,0,1,8,11
BRA2,Brazil,Lucas Dias,28,10,9,0,1,1,1,2,4,9,44.0,2,5,40.0,2,4,50.0,0,0,0.0,3,6,-4,15
BRA2,Brazil,George De Paula,26,8,4,3,2,1,0,3,3,8,38.0,2,5,40.0,1,3,33.0,1,2,50.0,3,1,20,12
BRA2,Brazil,Yago Santos,14,8,2,2,0,0,1,3,3,9,33.0,1,3,33.0,2,6,33.0,0,0,0.0,0,2,3,5
BRA2,Brazil,Leo Meindl,24,7,3,0,2,0,2,4,3,8,38.0,2,5,40.0,1,3,33.0,0,0,0.0,0,3,2,5
BRA2,Brazil,Gui Santos,8,3,2,0,0,0,0,0,1,2,50.0,0,1,0.0,1,1,100.0,0,0,0.0,2,0,-7,4
BRA2,Brazil,Didi Louzada,24,3,4,1,1,0,1,0,1,5,20.0,1,3,33.0,0,2,0.0,1,2,50.0,1,3,19,3
BRA2,Brazil,Cristiano Felicio,9,2,3,0,1,0,1,0,1,3,33.0,1,3,33.0,0,0,0.0,0,0,0.0,3,0,0,3
BRA2,Brazil,Vitor Benite,12,2,0,0,1,0,0,0,1,3,33.0,1,1,100.0,0,2,0.0,0,0,0.0,0,0,1,1
BRA2,Philippines,Justin Brownlee,38,15,8,2,1,1,3,4,5,16,31.0,2,9,22.0,3,7,43.0,2,2,100.0,1,7,-11,13
BRA2,Philippines,Dwight Ramos,37,13,3,3,2,0,2,0,5,12,42.0,2,6,33.0,3,6,50.0,0,0,0.0,1,2,-10,12
BRA2,Philippines,June Mar Fajardo,30,10,11,2,0,0,2,3,4,10,40.0,4,10,40.0,0,0,0.0,2,2,100.0,5,6,-8,15
BRA2,Philippines,Jaymar Perez,21,10,3,2,2,1,2,3,5,7,71.0,5,6,83.0,0,1,0.0,0,0,0.0,1,2,-8,14
BRA2,Philippines,Chris Newsome,25,5,2,1,3,0,2,1,2,8,25.0,2,7,28.999999999999996,0,1,0.0,1,2,50.0,0,2,-6,2
BRA2,Philippines,Japeth Aguilar,19,4,6,1,0,2,2,0,2,4,50.0,2,4,50.0,0,0,0.0,0,0,0.0,3,3,-2,9
BRA2,Philippines,Carl Tamayo,12,3,4,0,0,0,2,2,1,4,25.0,0,2,0.0,1,2,50.0,0,0,0.0,0,4,1,2
BRA2,Philippines,Calvin Oftana,14,0,3,0,0,1,0,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,1,2,-8,2
BRA2,Philippines,Karl Quiambao,3,0,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,-3,-1
LAT1,Latvia,Rihards Lomazs,23,15,5,2,1,0,4,1,4,12,33.0,3,8,38.0,1,4,25.0,6,6,100.0,1,4,-18,11
LAT1,Latvia,Arturs Zagars,18,14,3,4,1,0,1,3,5,10,50.0,3,6,50.0,2,4,50.0,2,2,100.0,1,2,-3,16
LAT1,Latvia,Rolands Smits,21,14,2,0,1,0,1,2,6,11,55.00000000000001,4,6,67.0,2,5,40.0,0,0,0.0,1,1,-14,11
LAT1,Latvia,Arturs Strautins,15,8,0,0,0,0,0,1,2,6,33.0,1,4,25.0,1,2,50.0,3,4,75.0,0,0,-17,3
LAT1,Latvia,Kristers Zoriks,21,6,2,2,2,0,0,4,2,9,22.0,2,4,50.0,0,5,0.0,2,2,100.0,1,1,-19,5
LAT1,Latvia,Klavs Cavars,9,4,1,1,1,1,0,1,2,2,100.0,2,2,100.0,0,0,0.0,0,0,0.0,1,0,-5,8
LAT1,Latvia,Davis Bertans,23,3,2,1,0,0,0,4,1,3,33.0,0,0,0.0,1,3,33.0,0,0,0.0,0,2,-20,4
LAT1,Latvia,Janis Timma,9,3,0,1,1,0,1,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,0,-2,3
LAT1,Latvia,Mareks Mejeris,20,2,6,2,0,0,0,1,0,1,0.0,0,0,0.0,0,1,0.0,2,2,100.0,4,2,-9,9
LAT1,Latvia,Dairis Bertans,17,0,1,2,0,0,0,2,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,-10,2
LAT1,Latvia,Rodions Kurucs,22,0,4,1,0,0,1,4,0,5,0.0,0,3,0.0,0,2,0.0,0,2,0.0,2,2,-8,-3
LAT1,Brazil,Bruno Caboclo,30,21,4,1,0,2,2,4,4,6,67.0,3,5,60.0,1,1,100.0,12,13,92.0,0,4,19,23
LAT1,Brazil,Leo Meindl,34,20,9,1,2,0,2,3,4,10,40.0,0,3,0.0,4,7,56.99999999999999,8,9,89.0,2,7,22,23
LAT1,Brazil,George De Paula,29,14,3,5,1,1,2,2,4,8,50.0,1,2,50.0,3,6,50.0,3,4,75.0,1,2,25,17
LAT1,Brazil,Gui Santos,27,12,7,3,2,0,0,3,4,9,44.0,3,5,60.0,1,4,25.0,3,4,75.0,3,4,15,18
LAT1,Brazil,Marcelinho Huertas,26,12,4,7,0,0,3,2,5,10,50.0,4,8,50.0,1,2,50.0,1,2,50.0,1,3,6,14
LAT1,Brazil,Vitor Benite,17,9,1,0,0,0,0,3,3,6,50.0,2,5,40.0,1,1,100.0,2,2,100.0,0,1,4,7
LAT1,Brazil,Lucas Dias,21,3,5,1,1,0,1,3,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,4,15,9
LAT1,Brazil,Yago Santos,8,3,0,2,1,0,1,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,14,5
LAT1,Brazil,Cristiano Felicio,3,0,0,0,0,0,0,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4,0
LAT1,Brazil,Joao Cardoso,2,0,0,0,0,0,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,-2,-1
LAT1,Brazil,Didi Louzada,3,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,3,-1
